x=20.588858,y=59.188390
x=20.475758,y=59.133230
x=20.362843,y=59.078125
x=20.250113,y=59.023073
x=20.137565,y=58.968074
x=20.025199,y=58.913129
x=19.913014,y=58.858236
x=19.801009,y=58.803395
x=19.689183,y=58.748605
x=19.577533,y=58.693866
x=19.466061,y=58.639178
x=19.354763,y=58.584541
x=19.243640,y=58.529952
x=19.132690,y=58.475414
x=19.021912,y=58.420923
x=18.911305,y=58.366481
x=18.800868,y=58.312087
x=18.690599,y=58.257741
x=18.580499,y=58.203441
x=18.470565,y=58.149188
x=18.360797,y=58.094981
x=18.251193,y=58.040820
x=18.141753,y=57.986703
x=18.032476,y=57.932632
x=17.923361,y=57.878605
x=17.814406,y=57.824622
x=17.705610,y=57.770682
x=17.596973,y=57.716785
x=17.488493,y=57.662931
x=17.380170,y=57.609119
x=17.272003,y=57.555349
x=17.163990,y=57.501620
x=17.056131,y=57.447932
x=16.948424,y=57.394285
x=16.840869,y=57.340677
x=16.733464,y=57.287109
x=16.626209,y=57.233581
x=16.519103,y=57.180091
x=16.412144,y=57.126640
x=16.305333,y=57.073226
x=16.198667,y=57.019850
x=16.092146,y=56.966512
x=15.985769,y=56.913210
x=15.879535,y=56.859944
x=15.773443,y=56.806714
x=15.667492,y=56.753520
x=15.561681,y=56.700361
x=15.456010,y=56.647237
x=15.350477,y=56.594147
x=15.245081,y=56.541091
x=15.139822,y=56.488069
x=15.034699,y=56.435079
x=14.929711,y=56.382123
x=14.824856,y=56.329199
x=14.720134,y=56.276306
x=14.615545,y=56.223446
x=14.511086,y=56.170616
x=14.406758,y=56.117817
x=14.302559,y=56.065049
x=14.198489,y=56.012311
x=14.094547,y=55.959602
x=13.990731,y=55.906923
x=13.887042,y=55.854272
x=13.783477,y=55.801650
x=13.680037,y=55.749056
x=13.576720,y=55.696489
x=13.473526,y=55.643950
x=13.370453,y=55.591438
x=13.267501,y=55.538953
x=13.164669,y=55.486494
x=13.061957,y=55.434060
x=12.959363,y=55.381652
x=12.856886,y=55.329269
x=12.754526,y=55.276911
x=12.652282,y=55.224577
x=12.550153,y=55.172267
x=12.448138,y=55.119981
x=12.346236,y=55.067718
x=12.244448,y=55.015478
x=12.142771,y=54.963260
x=12.041205,y=54.911065
x=11.939749,y=54.858891
x=11.838402,y=54.806738
x=11.737165,y=54.754607
x=11.636035,y=54.702496
x=11.535012,y=54.650406
x=11.434095,y=54.598336
x=11.333284,y=54.546285
x=11.232578,y=54.494253
x=11.131975,y=54.442241
x=11.031476,y=54.390247
x=10.931079,y=54.338271
x=10.830783,y=54.286312
x=10.730589,y=54.234372
x=10.630494,y=54.182448
x=10.530499,y=54.130541
x=10.430603,y=54.078651
x=10.330804,y=54.026777
x=10.231102,y=53.974918
x=10.131496,y=53.923075
x=10.031986,y=53.871246
x=9.932571,y=53.819433
x=9.833250,y=53.767633
x=9.734022,y=53.715848
x=9.634887,y=53.664076
x=9.535844,y=53.612318
x=9.436892,y=53.560572
x=9.338030,y=53.508839
x=9.239258,y=53.457118
x=9.140575,y=53.405409
x=9.041980,y=53.353712
x=8.943472,y=53.302025
x=8.845051,y=53.250350
x=8.746717,y=53.198685
x=8.648467,y=53.147031
x=8.550303,y=53.095386
x=8.452222,y=53.043750
x=8.354224,y=52.992124
x=8.256309,y=52.940507
x=8.158476,y=52.888898
x=8.060724,y=52.837297
x=7.963052,y=52.785704
x=7.865460,y=52.734119
x=7.767947,y=52.682540
x=7.670512,y=52.630969
x=7.573155,y=52.579403
x=7.475875,y=52.527844
x=7.378671,y=52.476291
x=7.281543,y=52.424743
x=7.184490,y=52.373201
x=7.087510,y=52.321663
x=6.990605,y=52.270129
x=6.893772,y=52.218600
x=6.797011,y=52.167074
x=6.700322,y=52.115552
x=6.603704,y=52.064033
x=6.507155,y=52.012517
x=6.410677,y=51.961003
x=6.314267,y=51.909491
x=6.217925,y=51.857981
x=6.121651,y=51.806473
x=6.025443,y=51.754966
x=5.929302,y=51.703459
x=5.833226,y=51.651953
x=5.737215,y=51.600447
x=5.641269,y=51.548941
x=5.545386,y=51.497435
x=5.449565,y=51.445927
x=5.353807,y=51.394419
x=5.258111,y=51.342909
x=5.162475,y=51.291397
x=5.066900,y=51.239883
x=4.971385,y=51.188366
x=4.875928,y=51.136847
x=4.780530,y=51.085324
x=4.685190,y=51.033798
x=4.589906,y=50.982269
x=4.494679,y=50.930735
x=4.399508,y=50.879196
x=4.304392,y=50.827653
x=4.209331,y=50.776105
x=4.114324,y=50.724551
x=4.019370,y=50.672992
x=3.924468,y=50.621427
x=3.829619,y=50.569855
x=3.734820,y=50.518276
x=3.640073,y=50.466691
x=3.545376,y=50.415098
x=3.450728,y=50.363497
x=3.356130,y=50.311888
x=3.261579,y=50.260271
x=3.167076,y=50.208645
x=3.072621,y=50.157011
x=2.978211,y=50.105366
x=2.883848,y=50.053713
x=2.789529,y=50.002049
