x=-175.011359,y=-118.077706,z=0.775751
x=-175.001578,y=-118.044525,z=0.777272
x=-174.991796,y=-118.011344,z=0.778793
x=-174.982014,y=-117.978163,z=0.780314
x=-174.972233,y=-117.944982,z=0.781835
x=-174.962451,y=-117.911801,z=0.783356
x=-174.952669,y=-117.878620,z=0.784877
x=-174.942888,y=-117.845439,z=0.786399
x=-174.933106,y=-117.812258,z=0.787920
x=-174.923324,y=-117.779077,z=0.789441
x=-174.913543,y=-117.745896,z=0.790962
x=-174.903761,y=-117.712715,z=0.792483
x=-174.893979,y=-117.679534,z=0.794004
x=-174.884198,y=-117.646353,z=0.795525
x=-174.874416,y=-117.613172,z=0.797046
x=-174.864634,y=-117.579991,z=0.798567
x=-174.854853,y=-117.546810,z=0.800088
x=-174.845071,y=-117.513629,z=0.801609
x=-174.835290,y=-117.480448,z=0.803130
x=-174.825508,y=-117.447267,z=0.804652
x=-174.815726,y=-117.414086,z=0.806173
x=-174.805945,y=-117.380905,z=0.807694
x=-174.796163,y=-117.347725,z=0.809215
x=-174.786381,y=-117.314544,z=0.810736
x=-174.776600,y=-117.281363,z=0.812257
x=-174.766818,y=-117.248182,z=0.813778
x=-174.757036,y=-117.215001,z=0.815299
x=-174.747255,y=-117.181820,z=0.816820
x=-174.737473,y=-117.148639,z=0.818341
x=-174.727691,y=-117.115458,z=0.819862
x=-174.717910,y=-117.082277,z=0.821383
x=-174.708128,y=-117.049096,z=0.822904
x=-174.698346,y=-117.015915,z=0.824426
x=-174.688565,y=-116.982734,z=0.825947
x=-174.678783,y=-116.949553,z=0.827468
x=-174.669001,y=-116.916372,z=0.828989
x=-174.659220,y=-116.883191,z=0.830510
x=-174.649438,y=-116.850010,z=0.832031
x=-174.639657,y=-116.816829,z=0.833552
x=-174.629875,y=-116.783648,z=0.835073
x=-174.620093,y=-116.750467,z=0.836594
x=-174.610312,y=-116.717286,z=0.838115
x=-174.600530,y=-116.684105,z=0.839636
x=-174.590748,y=-116.650924,z=0.841157
x=-174.580967,y=-116.617743,z=0.842679
x=-174.571185,y=-116.584562,z=0.844200
x=-174.561403,y=-116.551381,z=0.845721
x=-174.551622,y=-116.518200,z=0.847242
x=-174.541840,y=-116.485019,z=0.848763
x=-174.532058,y=-116.451838,z=0.850284
x=-174.522277,y=-116.418657,z=0.851805
x=-174.512495,y=-116.385476,z=0.853326
x=-174.502713,y=-116.352295,z=0.854847
x=-174.492932,y=-116.319114,z=0.856368
x=-174.483150,y=-116.285934,z=0.857889
x=-174.473369,y=-116.252753,z=0.859410
x=-174.463587,y=-116.219572,z=0.860932
x=-174.453805,y=-116.186391,z=0.862453
x=-174.444024,y=-116.153210,z=0.863974
x=-174.434242,y=-116.120029,z=0.865495
x=-174.424460,y=-116.086848,z=0.867016
x=-174.414679,y=-116.053667,z=0.868537
x=-174.404897,y=-116.020486,z=0.870058
x=-174.395115,y=-115.987305,z=0.871579
x=-174.385334,y=-115.954124,z=0.873100
x=-174.375552,y=-115.920943,z=0.874621
x=-174.365770,y=-115.887762,z=0.876142
x=-174.355989,y=-115.854581,z=0.877663
x=-174.346207,y=-115.821400,z=0.879184
x=-174.336425,y=-115.788219,z=0.880706
x=-174.326644,y=-115.755038,z=0.882227
x=-174.316862,y=-115.721857,z=0.883748
x=-174.307080,y=-115.688676,z=0.885269
x=-174.297299,y=-115.655495,z=0.886790
x=-174.287517,y=-115.622314,z=0.888311
x=-174.277736,y=-115.589133,z=0.889832
x=-174.267954,y=-115.555952,z=0.891353
x=-174.258172,y=-115.522771,z=0.892874
x=-174.248391,y=-115.489590,z=0.894395
x=-174.238609,y=-115.456409,z=0.895916
x=-174.228827,y=-115.423228,z=0.897437
