x=-20.788754,y=-12.245581
x=-20.537931,y=-12.290802
x=-20.286236,y=-12.335405
x=-20.033680,y=-12.379391
x=-19.780271,y=-12.422763
x=-19.526018,y=-12.465523
x=-19.270932,y=-12.507672
x=-19.015022,y=-12.549213
x=-18.758297,y=-12.590148
x=-18.500768,y=-12.630479
x=-18.242444,y=-12.670208
x=-17.983334,y=-12.709336
x=-17.723449,y=-12.747866
x=-17.462798,y=-12.785800
x=-17.201392,y=-12.823139
x=-16.939240,y=-12.859886
x=-16.676353,y=-12.896042
x=-16.412740,y=-12.931610
x=-16.148411,y=-12.966590
x=-15.883378,y=-13.000985
x=-15.617649,y=-13.034797
x=-15.351236,y=-13.068028
x=-15.084148,y=-13.100678
x=-14.816395,y=-13.132750
x=-14.547989,y=-13.164246
x=-14.278940,y=-13.195168
x=-14.009258,y=-13.225516
x=-13.738953,y=-13.255292
x=-13.468036,y=-13.284499
x=-13.196518,y=-13.313137
x=-12.924409,y=-13.341209
x=-12.651721,y=-13.368715
x=-12.378463,y=-13.395658
x=-12.104646,y=-13.422039
x=-11.830281,y=-13.447858
x=-11.555379,y=-13.473119
x=-11.279951,y=-13.497821
x=-11.004008,y=-13.521967
x=-10.727560,y=-13.545558
x=-10.450618,y=-13.568595
x=-10.173194,y=-13.591079
x=-9.895298,y=-13.613012
x=-9.616941,y=-13.634394
x=-9.338135,y=-13.655228
x=-9.058890,y=-13.675515
x=-8.779218,y=-13.695254
x=-8.499129,y=-13.714449
x=-8.218636,y=-13.733099
x=-7.937748,y=-13.751206
x=-7.656478,y=-13.768770
x=-7.374836,y=-13.785794
x=-7.092833,y=-13.802277
x=-6.810482,y=-13.818221
x=-6.527793,y=-13.833627
x=-6.244778,y=-13.848496
x=-5.961447,y=-13.862827
x=-5.677813,y=-13.876624
x=-5.393887,y=-13.889885
x=-5.109680,y=-13.902612
x=-4.825203,y=-13.914806
x=-4.540468,y=-13.926467
x=-4.255486,y=-13.937597
x=-3.970270,y=-13.948195
x=-3.684830,y=-13.958262
x=-3.399177,y=-13.967799
x=-3.113324,y=-13.976807
x=-2.827282,y=-13.985286
x=-2.541062,y=-13.993236
x=-2.254676,y=-14.000658
x=-1.968135,y=-14.007553
x=-1.681452,y=-14.013921
x=-1.394637,y=-14.019761
x=-1.107702,y=-14.025076
x=-0.820659,y=-14.029864
x=-0.533520,y=-14.034126
x=-0.246295,y=-14.037863
x=0.041003,y=-14.041074
x=0.328363,y=-14.043760
x=0.615772,y=-14.045921
x=0.903221,y=-14.047557
x=1.190696,y=-14.048669
x=1.478187,y=-14.049255
x=1.765681,y=-14.049317
x=2.053168,y=-14.048854
x=2.340635,y=-14.047866
x=2.628070,y=-14.046353
x=2.915463,y=-14.044316
x=3.202802,y=-14.041753
x=3.490074,y=-14.038665
x=3.777269,y=-14.035052
x=4.064375,y=-14.030912
x=4.351379,y=-14.026247
x=4.638271,y=-14.021056
x=4.925040,y=-14.015338
x=5.211672,y=-14.009093
x=5.498158,y=-14.002321
x=5.784484,y=-13.995021
x=6.070641,y=-13.987193
x=6.356615,y=-13.978836
x=6.642396,y=-13.969950
x=6.927972,y=-13.960535
x=7.213332,y=-13.950589
x=7.498464,y=-13.940112
x=7.783357,y=-13.929104
x=8.067999,y=-13.917563
x=8.352378,y=-13.905490
x=8.636484,y=-13.892883
x=8.920305,y=-13.879741
x=9.203829,y=-13.866065
x=9.487046,y=-13.851852
x=9.769943,y=-13.837103
x=10.052510,y=-13.821815
x=10.334735,y=-13.805990
x=10.616607,y=-13.789624
x=10.898114,y=-13.772718
x=11.179246,y=-13.755271
x=11.459991,y=-13.737281
x=11.740338,y=-13.718748
x=12.020275,y=-13.699669
x=12.299792,y=-13.680045
x=12.578878,y=-13.659874
x=12.857521,y=-13.639155
x=13.135711,y=-13.617887
x=13.413435,y=-13.596068
x=13.690684,y=-13.573697
x=13.967447,y=-13.550774
x=14.243712,y=-13.527296
x=14.519468,y=-13.503262
x=14.794705,y=-13.478671
x=15.069411,y=-13.453522
x=15.343577,y=-13.427813
x=15.617191,y=-13.401542
x=15.890242,y=-13.374709
x=16.162720,y=-13.347311
x=16.434614,y=-13.319348
x=16.705913,y=-13.290818
x=16.976607,y=-13.261718
x=17.246686,y=-13.232049
x=17.516138,y=-13.201807
x=17.784953,y=-13.170991
x=18.053121,y=-13.139600
x=18.320631,y=-13.107632
x=18.587474,y=-13.075085
x=18.853638,y=-13.041958
x=19.119114,y=-13.008248
x=19.383891,y=-12.973955
x=19.647959,y=-12.939076
x=19.911307,y=-12.903609
x=20.173927,y=-12.867552
x=20.435807,y=-12.830904
x=20.696938,y=-12.793664
x=20.957310,y=-12.755828
x=21.216912,y=-12.717394
x=21.475736,y=-12.678362
x=21.733771,y=-12.638729
x=21.991007,y=-12.598494
x=22.247435,y=-12.557653
x=22.503044,y=-12.516205
x=22.757827,y=-12.474148
x=23.011772,y=-12.431481
x=23.264870,y=-12.388200
x=23.517112,y=-12.344304
x=23.768489,y=-12.299791
x=24.018991,y=-12.254659
x=24.268608,y=-12.208905
x=24.517333,y=-12.162527
x=24.765154,y=-12.115524
x=25.012064,y=-12.067892
x=25.258053,y=-12.019631
x=25.503112,y=-11.970737
x=25.747233,y=-11.921208
x=25.990405,y=-11.871043
x=26.232622,y=-11.820239
x=26.473872,y=-11.768793
x=26.714149,y=-11.716703
x=26.953443,y=-11.663968
x=27.191746,y=-11.610585
x=27.429049,y=-11.556551
x=27.665343,y=-11.501864
x=27.900621,y=-11.446523
x=28.134874,y=-11.390524
x=28.368093,y=-11.333865
x=28.600271,y=-11.276544
x=28.831398,y=-11.218558
x=29.061468,y=-11.159906
x=29.290472,y=-11.100585
x=29.518402,y=-11.040592
x=29.745251,y=-10.979925
x=29.971009,y=-10.918581
x=30.195670,y=-10.856559
x=30.419226,y=-10.793856
x=30.641669,y=-10.730470
x=30.862992,y=-10.666397
x=31.083187,y=-10.601636
x=31.302247,y=-10.536185
x=31.520164,y=-10.470040
x=31.736930,y=-10.403200
x=31.952540,y=-10.335661
x=32.166986,y=-10.267423
x=32.380260,y=-10.198481
x=32.592355,y=-10.128834
x=32.803265,y=-10.058480
x=33.012983,y=-9.987416
x=33.221502,y=-9.915639
x=33.428815,y=-9.843147
