x=-63.189965,y=-46.281338
x=-63.090081,y=-46.276502
x=-62.990198,y=-46.271666
x=-62.890315,y=-46.266831
x=-62.790432,y=-46.261995
x=-62.690549,y=-46.257159
x=-62.590666,y=-46.252324
x=-62.490783,y=-46.247488
x=-62.390900,y=-46.242652
x=-62.291017,y=-46.237816
x=-62.191134,y=-46.232981
x=-62.091251,y=-46.228145
x=-61.991368,y=-46.223309
x=-61.891485,y=-46.218474
x=-61.791602,y=-46.213638
x=-61.691719,y=-46.208802
x=-61.591836,y=-46.203967
x=-61.491953,y=-46.199131
x=-61.392070,y=-46.194295
x=-61.292187,y=-46.189459
x=-61.192304,y=-46.184624
x=-61.092421,y=-46.179788
x=-60.992538,y=-46.174952
x=-60.892655,y=-46.170117
x=-60.792772,y=-46.165281
x=-60.692889,y=-46.160445
x=-60.593006,y=-46.155609
x=-60.493123,y=-46.150774
x=-60.393240,y=-46.145938
x=-60.293357,y=-46.141102
x=-60.193474,y=-46.136267
x=-60.093591,y=-46.131431
x=-59.993708,y=-46.126595
x=-59.893825,y=-46.121759
x=-59.793942,y=-46.116924
x=-59.694059,y=-46.112088
x=-59.594176,y=-46.107252
x=-59.494293,y=-46.102417
x=-59.394410,y=-46.097581
x=-59.294527,y=-46.092745
x=-59.194644,y=-46.087909
x=-59.094761,y=-46.083074
x=-58.994878,y=-46.078238
x=-58.894995,y=-46.073402
x=-58.795112,y=-46.068567
x=-58.695229,y=-46.063731
x=-58.595346,y=-46.058895
x=-58.495463,y=-46.054059
x=-58.395580,y=-46.049224
x=-58.295697,y=-46.044388
x=-58.195814,y=-46.039552
x=-58.095931,y=-46.034717
x=-57.996048,y=-46.029881
x=-57.896165,y=-46.025045
x=-57.796282,y=-46.020209
x=-57.696399,y=-46.015374
x=-57.596516,y=-46.010538
x=-57.496633,y=-46.005702
x=-57.396750,y=-46.000867
x=-57.296867,y=-45.996031
x=-57.196984,y=-45.991195
x=-57.097101,y=-45.986359
x=-56.997218,y=-45.981524
x=-56.897335,y=-45.976688
x=-56.797452,y=-45.971852
x=-56.697569,y=-45.967017
x=-56.597686,y=-45.962181
x=-56.497803,y=-45.957345
x=-56.397920,y=-45.952510
x=-56.298037,y=-45.947674
x=-56.198154,y=-45.942838
x=-56.098271,y=-45.938002
x=-55.998388,y=-45.933167
x=-55.898505,y=-45.928331
x=-55.798622,y=-45.923495
x=-55.698739,y=-45.918660
x=-55.598856,y=-45.913824
x=-55.498973,y=-45.908988
x=-55.399090,y=-45.904152
x=-55.299207,y=-45.899317
x=-55.199324,y=-45.894481
x=-55.099441,y=-45.889645
