x=-53.070806,y=-0.558391
x=-53.170232,y=-0.569094
x=-53.269746,y=-0.578933
x=-53.369342,y=-0.587907
x=-53.469013,y=-0.596016
x=-53.568750,y=-0.603258
x=-53.668546,y=-0.609635
x=-53.699660,y=-0.611450
x=-53.799507,y=-0.616978
x=-53.899370,y=-0.622216
x=-53.999247,y=-0.627165
x=-54.099139,y=-0.631824
x=-54.199043,y=-0.636193
x=-54.298960,y=-0.640273
x=-54.398888,y=-0.644062
x=-54.498827,y=-0.647562
x=-54.598775,y=-0.650772
x=-54.698732,y=-0.653692
x=-54.798698,y=-0.656322
x=-54.898670,y=-0.658662
x=-54.998649,y=-0.660712
x=-55.098634,y=-0.662472
x=-55.198623,y=-0.663942
x=-55.298616,y=-0.665122
x=-55.398612,y=-0.666012
x=-55.498610,y=-0.666612
x=-55.598610,y=-0.666922
x=-55.655470,y=-0.666970
x=-55.755470,y=-0.666970
x=-55.855470,y=-0.666970
x=-55.955470,y=-0.666970
x=-56.055470,y=-0.666970
x=-56.155470,y=-0.666970
x=-56.255470,y=-0.666970
x=-56.355470,y=-0.666970
x=-56.455470,y=-0.666970
x=-56.555470,y=-0.666970
x=-56.655470,y=-0.666970
x=-56.755470,y=-0.666970
x=-56.855470,y=-0.666970
x=-56.955470,y=-0.666970
x=-57.055470,y=-0.666970
x=-57.155470,y=-0.666970
x=-57.195560,y=-0.666970
x=-57.294906,y=-0.655551
x=-57.394252,y=-0.644132
x=-57.493598,y=-0.632713
x=-57.592944,y=-0.621294
x=-57.692289,y=-0.609875
x=-57.791635,y=-0.598456
x=-57.890981,y=-0.587037
x=-57.990327,y=-0.575618
x=-58.089673,y=-0.564199
x=-58.189019,y=-0.552780
x=-58.288365,y=-0.541361
x=-58.387711,y=-0.529942
x=-58.487057,y=-0.518523
x=-58.586402,y=-0.507104
x=-58.685748,y=-0.495685
x=-58.785094,y=-0.484266
x=-58.884440,y=-0.472847
x=-58.983786,y=-0.461428
x=-59.083132,y=-0.450009
x=-59.182478,y=-0.438590
x=-59.281824,y=-0.427171
x=-59.381170,y=-0.415752
x=-59.480516,y=-0.404333
x=-59.579861,y=-0.392914
x=-59.679207,y=-0.381495
x=-59.778553,y=-0.370076
x=-59.877899,y=-0.358657
x=-59.977245,y=-0.347238
x=-60.076591,y=-0.335819
x=-60.175937,y=-0.324400
x=-60.240750,y=-0.316950
x=-60.340146,y=-0.307455
x=-60.435948,y=-0.279315
x=-60.524690,y=-0.233547
x=-60.603162,y=-0.171807
x=-60.660780,y=-0.106930
x=-60.716883,y=-0.024196
x=-60.764865,y=0.063498
x=-60.804291,y=0.155356
x=-60.834803,y=0.250548
x=-60.856126,y=0.348210
x=-60.868065,y=0.447456
x=-60.870790,y=0.523110
x=-60.858306,y=0.622328
x=-60.845821,y=0.721545
x=-60.833337,y=0.820763
x=-60.820853,y=0.919981
x=-60.808368,y=1.019198
x=-60.795884,y=1.118416
x=-60.783400,y=1.217634
x=-60.770916,y=1.316851
x=-60.758431,y=1.416069
x=-60.745947,y=1.515286
x=-60.733463,y=1.614504
x=-60.720978,y=1.713722
x=-60.708494,y=1.812939
x=-60.696010,y=1.912157
x=-60.683525,y=2.011375
x=-60.671041,y=2.110592
x=-60.658557,y=2.209810
x=-60.646072,y=2.309028
x=-60.633588,y=2.408245
x=-60.621104,y=2.507463
x=-60.608619,y=2.606681
x=-60.596135,y=2.705898
x=-60.583651,y=2.805116
x=-60.571167,y=2.904334
x=-60.558682,y=3.003551
x=-60.546198,y=3.102769
x=-60.533714,y=3.201987
